Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$300 ,(except Nov-Dec)
09-Apr,Tims ,Fast Food,3.66,Credit,,,AMOUNT REMAINING THIS MONTH,($289),
12-Apr,Starbs,Fast Food,6.55,Credit,,,AMOUNT SPENT THIS MONTH:,$589.44 ,
13-Apr,The Alchemist,Miscellaneous,16.22,Credit,,,,,
19-Apr,Starbs,Fast Food,6.27,Credit,,,Reset every 10th of the month ,,
20-Apr,MUSC,Fast Food,8.91,Credit,,,,,
22-Apr,H&M,Shopping,23.57,Credit,,,,,
24-Apr,LA ,Subscriptions,34.77,Credit,,,,,
24-Apr,Bubbletea,Fast Food,6.87,Credit,,,,,
25-Apr,Walmart,Miscellaneous,50.01,Credit,,,Sub Totals:,,
27-Apr,Spotify,Subscriptions,5.64,Credit,,,Fast Food,35.19,
27-Apr,Chucks,Motives,15.81,Credit,,,Restaurant ,55.34,
28-Apr,Paypal ship out,Miscellaneous,19.24,Credit,,,Shopping ,105.66,
29-Apr,Starbs+Sephora,Shopping,82.09,Credit,,,Subscriptions ,40.41,
29-Apr,Rifas pres,Birthdays,8.48,Credit,,,Miscellaneous ,85.47,
30-Apr,Casa Mezcal,Restaurant,55.34,Credit,,,School ,0,
04-May,Rolly Polly Cow w Anam,Motives,11.24,Credit,,,Travel ,0,
04-May,McDs Coffee,Fast Food,2.93,Credit,,,Motives,191.11,
05-May,Sweat and Tonic 3 credits,Motives,56.50,Credit,,,Birthdays ,76.26,
06-May,Starbs,Motives,17.16,Credit,,,,,
07-May,Mothers day & Fathers Day Pillows,Birthdays,67.78,Credit,,,,,
10-May,Horseback riding,Motives,90.40,Debit,,,,,
