Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$500 ,(except Nov-Dec)
10-Dec,"TIM HORTONS #2168, MISSISSAUGA",Fast Food,2.40,Credit,,,,,
11-Dec,"TIM HORTONS #2290, MISSISSAUGA",Fast Food,2.82,Credit,,,,,
14-Dec,"Subway 17658, Mississauga",Fast Food,14.11,Credit,,,AMOUNT REMAINING THIS MONTH,($148),
19-Dec,"STARBUCKS COFFEE #5697, MISSISSAUGA",Fast Food,8.93,Credit,,,AMOUNT SPENT THIS MONTH:,$647.77 ,
21-Dec,"PARADISE NAILS & SPA, BRAMPTON",Miscellaneous,31.08,Credit,,,,,
22-Dec,"PUR & SIMPLE HEARTLAND, MISSISSAUGA",Restaurant,27.95,Credit,,,Reset every 10th of the month ,,
22-Dec,"AMZN Mktp CA*VX76M3ZG3, WWW.AMAZON.CA",Shopping,22.66,Credit,,,,,
23-Dec,"MICHAELS #4922, MISSISSAUGA",Shopping,24.59,Credit,,,,,
23-Dec,"BLUENOTES #9370, MISSISSAUGA",Shopping,11.30,Credit,,,,,
23-Dec,"ARITZIA SQUARE ONE 130, MISSISSAUGA",Shopping,54.24,Credit,,,,,
23-Dec,"VICTORIA'S SECRET STORE #, MISSISSAUGA",Shopping,42.94,Credit,,,Sub Totals:,,
23-Dec,"MORPHE, MISSISSAUGA",Shopping,14.24,Credit,,,Fast Food,40.76,
23-Dec,"TIM HORTONS #2506, MISSISSAUGA",Fast Food,0.74,Credit,,,Restaurant ,34.55,
24-Dec,LA FITNESS,Subscriptions,39.54,Credit,,,Shopping ,385.76,
24-Dec,"SWISS CHALET #1939, MISSISSAUGA",Restaurant,6.60,Credit,,,Subscriptions ,45.18,
27-Dec,"AMERICAN EAGLE OUTFITTERS, MISSISSAUGA",Shopping,104.62,Credit,,,Miscellaneous ,93.22,
27-Dec,"WWW.SPORTCHEK.CA, 8779772435",Shopping,111.17,Credit,,,School ,0,
27-Dec,"STARBUCKS 16144, MISSISSAUGA",Fast Food,6.16,Credit,,,Travel ,0,
27-Dec,Spotify P18B94A497,Subscriptions,5.64,Credit,,,Motives,48.3,
27-Dec,"PHONE JI, MISSISSAUGA",Miscellaneous,22.60,Credit,,,Birthdays ,0,
29-Dec,"CINEPLEX REC ROOM 7009, MISSISSAUGA",Motives,22.75,Credit,,,,,
29-Dec,"CINEPLEX REC ROOM 7009, MISSISSAUGA",Motives,21.62,Credit,,,,,
29-Dec,"REAL FRUIT BUBBLE TEA, MISSISSAUGA",Fast Food,5.60,Credit,,,,,
04-Jan,Millennium Photo,Miscellaneous,39.54,Credit,,,,,
06-Jan,Mac's w Tanya,Motives,3.93,Credit,,,,,
