Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$500 ,(except Nov-Dec)
12-Nov,Movies ,Motives,24.58,Credit,,,AMOUNT REMAINING THIS MONTH,($348),
13-Nov,Starbs,Fast Food,6.16,Credit,,,AMOUNT SPENT THIS MONTH:,$847.93 ,
13-Nov,Milestones ,Restaurant,22.09,Credit,,,,,
14-Nov,Sportschek ,Shopping,33.90,Credit,,,Reset every 10th of the month ,,
14-Nov,Sushi,Fast Food,12.42,Credit,,,,,
16-Nov,Freshii,Fast Food,16.69,Credit,,,,,
17-Nov,Starbs,Fast Food,6.16,Credit,,,,,
19-Nov,Paradise nails,Birthdays,43.51,Credit,,,,,
19-Nov,D Spot,Restaurant,10.71,Credit,,,,,
20-Nov,Starbs,Fast Food,5.25,Credit,,,Sub Totals:,,
24-Nov,Subway,Fast Food,5.30,Credit,,,Fast Food,70.74,
24-Nov,LA Sub,Subscriptions,39.54,Credit,,,Restaurant ,32.8,
26-Nov,Chatters ,Miscellaneous,83.17,Credit,,,Shopping ,196.43,
26-Nov,Cash for bday,Birthdays,40.00,Debit,,,Subscriptions ,45.18,
27-Nov,Spotify,Subscriptions,5.64,Credit,,,Miscellaneous ,102.36,
28-Nov,Earls,Birthdays,236.93,Credit,,,School ,0,
28-Nov,Hotel Parking,Birthdays,30.00,Credit,,,Travel ,0,
29-Nov,Et illy & aayu for ubers,Birthdays,25.40,Debit,,,Motives,24.58,
01-Dec,H&M,Shopping,16.94,Credit,,,Birthdays ,375.84,
02-Dec,Amazon,Miscellaneous,19.19,Credit,,,,,
02-Dec,Chatime,Fast Food,6.89,Credit,,,,,
02-Dec,Burrito Banditos,Fast Food,11.87,Credit,,,,,
04-Dec,Kate Spade ,Shopping,51.57,Credit,,,,,
04-Dec,American Eagle,Shopping,94.02,Credit,,,,,
