Date ,Description,Type,Amount Spent ,Credit or Debit,,,MONTHLY BUDGET:,$500 ,(except Nov-Dec)
09-Sep,Starbucks,Fast Food,5.93,Credit,,,AMOUNT REMAINING THIS MONTH,$43 ,
09-Sep,MUSC Lunch,Fast Food,12.41,Credit,,,AMOUNT SPENT THIS MONTH:,$456.79 ,
10-Sep,Starbucks,Fast Food,5.25,Credit,,,,,
13-Sep,Starbucks ,Fast Food,4.80,Credit,,,Reset every 10th of the month ,,
13-Sep,Sephora ,Shopping,14.24,Credit,,,,,
15-Sep,MUSC Lunch,Fast Food,9.03,Credit,,,,,
18-Sep,Paisley coffee + breakfast,Restaurant,13.16,Credit,,,,,
18-Sep,Pita Pit,Restaurant,9.03,Credit,,,,,
18-Sep,TCBY Ice Cream,Fast Food,5.53,Credit,,,Sub Totals:,,
18-Sep,Presto ,Miscellaneous,20.00,Credit,,,Fast Food,91.9,
19-Sep,Shoppers,Miscellaneous,50.00,Credit,,,Restaurant ,38,
20-Sep,Starbs + MUSC Lunch ,Fast Food,16.09,Credit,,,Shopping ,81.98,
21-Sep,Starbs + MUSC Lunch,Fast Food,12.05,Credit,,,Subscriptions ,100.55,
22-Sep,Et anam ,Fast Food,5.00,Debit,,,Miscellaneous ,144.36,
23-Sep,Brows ,Miscellaneous,13.56,Credit,,,School ,0,
24-Sep,Starbs,Fast Food,4.80,Credit,,,Travel ,0,
24-Sep,LA Membership + Annual Fee,Subscriptions,94.91,Credit,,,,,
25-Sep,Sportify Sub,Subscriptions,5.64,Credit,,,,,
28-Sep,Mi'Hito,Restaurant,15.81,Credit,,,,,
30-Sep,Starbs,Fast Food,5.93,Credit,,,,,
30-Sep,Longos ,Fast Food,2.57,Credit,,,,,
01-Oct,THE ONE NAIL LOUNGE &,Miscellaneous,11.30,Credit,,,,,
02-Oct,Dynamite ,Shopping,67.74,Credit,,,,,
02-Oct,Et alex ,Miscellaneous,9.50,Debit,,,,,
06-Oct,McDs Coffee,Fast Food,2.51,Credit,,,,,
06-Oct,Et Aayushi ,Miscellaneous,40.00,Debit,,,,,
